,GDPC1,GDP_Change,LN_GDP,GDP_Growth,GDP_Growth_1Q_Ann,GDP_Growth_2Q_Ann,GDP_Growth_3Q_Ann,GDP_Growth_4Q_Ann,GDP_Growth_5Q_Ann,GDP_Growth_6Q_Ann,GDP_Growth_7Q_Ann,GDP_Growth_8Q_Ann,RSPREAD
31/01/1960,3123.162,68.058,8.046601229,0.022032316,8.812926223,5.191280335,3.203823255,4.805449799,5.318983346,5.973919781,6.426550119,5.952048296,0.613333333
30/04/1960,3111.31,-11.852,8.042799138,-0.003802091,-1.520836315,3.646044954,2.953908119,2.022658363,3.540192576,4.179013403,4.903240339,5.433126815,1.266666667
31/07/1960,3119.057,7.747,8.045285992,0.002486853,0.994741272,-0.263047522,2.76227706,2.464116407,1.817074945,3.115950692,3.724117384,4.414677956,1.473333333
31/10/1960,3081.3,-37.757,8.033106865,-0.012179127,-4.871650676,-1.938454702,-1.799248573,0.853795126,0.99696299,0.702287341,1.974864782,2.649646377,1.58
31/01/1961,3102.251,20.951,8.039883256,0.006776391,2.710556465,-1.080547106,-0.388784313,-0.671797314,1.225147394,1.282561903,0.98918293,2.066826243,1.436666667
30/04/1961,3159.918,57.667,8.058301357,0.018418101,7.36724035,5.038898407,1.735382046,1.550221853,0.936010219,2.248829553,2.151801681,1.786440108,1.486666667
31/07/1961,3212.606,52.688,8.074837725,0.016536368,6.614547156,6.990893753,5.564114657,2.955173324,2.563086914,1.882433042,2.872503496,2.709644865,1.676666667
31/10/1961,3277.717,65.111,8.094902422,0.020064698,8.025879072,7.320213114,7.335888859,6.179555761,3.969314473,3.473552273,2.760068189,3.516675443,1.513333333
31/01/1962,3336.753,59.036,8.112753457,0.017851035,7.140413994,7.583146533,7.260280074,7.287020143,6.371727407,4.49783106,3.997389662,3.307611415,1.293333333
30/04/1962,3372.706,35.953,8.123470668,0.010717211,4.286884427,5.713649211,6.484392498,6.516931162,6.686993,6.024253577,4.467695827,4.033576508,1.156666667
31/07/1962,3404.833,32.127,8.132951172,0.009480503,3.792201344,4.039542885,5.073166588,5.811344709,5.971985199,6.204527724,5.705388973,4.383259017,1.15
31/10/1962,3418.046,13.213,8.136824322,0.00387315,1.549259955,2.67073065,3.209448575,4.19218993,4.958927758,5.234864325,5.539489471,5.185872845,1.09
31/01/1963,3456.08,38.034,8.147890278,0.011065956,4.426382423,2.987821189,3.255947907,3.513682037,4.239028429,4.870170202,5.11936691,5.40035109,0.986666667
